w_p;30.97
w_ca;40.08
w_zn;65.38
dmi;1.8
meal_dur;10
s_mrts;163
s_mrtl;95 
si_mrt;180
nseg;180
kgs;0.01
Vs0;0.162
Vsmax;2
Hgs0;20
Hgsv;60
kd;0.2
pH_inf;5.628
solpp_0;0.88114
solpp_inf;0.12419
slope;2.567
kpp_sol;0.05
vmax_phytm;0.000939029
km_phytm;1.738
vmax_phytv;0.000234
km_phytv;3
ncapp;3
nznpp;0.12
rep;0.580
reca;2.0
reznb;0.9
reznp;0.06
reznd;1.54321E-05
vmaxp;0.00008
kmp;0.000401
kap;0.0001
vmaxca;0.00014
kmca;0.008002
kaca;0.00005
vmaxzn;0.00146
kmzn;0.00829
kazn;0.00014
kpp_insolsi;0.015
kpp_hsi;0.0045
kcanpp;0.05
rcanpp;0.001
ncap;1.5

